Date,Time Spent (seconds),Number of People,Category
2017-03-04T21:30:00,2,1,General Communication & Scheduling
2017-03-04T21:40:00,128,1,General Social Networking
2017-03-04T21:40:00,9,1,Calendars
2017-03-04T21:40:00,7,1,Search
2017-03-04T21:40:00,6,1,Photos
2017-03-04T21:45:00,243,1,General Social Networking
2017-03-04T21:45:00,14,1,Search
2017-03-04T21:50:00,257,1,General Social Networking
2017-03-04T21:50:00,42,1,Search
2017-03-04T21:55:00,58,1,General Social Networking
2017-03-04T21:55:00,25,1,General Communication & Scheduling
2017-03-04T21:55:00,2,1,Search
2017-03-04T22:00:00,12,1,General Communication & Scheduling
2017-03-04T22:05:00,174,1,General Social Networking
2017-03-04T22:05:00,122,1,Uncategorized
2017-03-04T22:05:00,3,1,Search
2017-03-04T22:10:00,222,1,Uncategorized
2017-03-04T22:10:00,39,1,General Communication & Scheduling
2017-03-04T22:10:00,3,1,Search
2017-03-04T22:10:00,2,1,General Utilities
2017-03-04T22:15:00,3,1,General Communication & Scheduling
2017-03-04T22:15:00,1,1,Search
2017-03-04T22:20:00,4,1,Search
2017-03-04T22:20:00,2,1,General Communication & Scheduling
2017-03-04T22:25:00,56,1,General Social Networking
2017-03-04T22:25:00,4,1,Search
2017-03-04T22:30:00,276,1,General Social Networking
2017-03-04T22:30:00,23,1,Instant Message
2017-03-04T22:35:00,300,1,General Social Networking
2017-03-04T22:40:00,250,1,General Social Networking
2017-03-04T22:45:00,259,1,General Social Networking
2017-03-04T22:45:00,40,1,Instant Message
2017-03-04T22:50:00,38,1,Instant Message
2017-03-04T22:55:00,86,1,Instant Message
2017-03-04T22:55:00,37,1,General Social Networking
2017-03-04T22:55:00,24,1,Maps & Regional
2017-03-04T22:55:00,5,1,Search
2017-03-04T22:55:00,4,1,General Shopping
2017-03-04T23:00:00,45,1,Search
2017-03-04T23:00:00,29,1,Music
2017-03-04T23:00:00,10,1,Maps & Regional
2017-03-04T23:00:00,5,1,General Social Networking
2017-03-04T23:00:00,3,1,General Utilities
2017-03-04T23:05:00,33,1,Maps & Regional
2017-03-04T23:30:00,13,1,Instant Message
2017-03-04T23:30:00,6,1,General Utilities
2017-03-04T23:30:00,4,1,Maps & Regional
2017-03-04T23:30:00,3,1,Search
2017-03-05T00:10:00,4,1,Instant Message
2017-03-05T00:15:00,26,1,General Social Networking
2017-03-05T00:15:00,1,1,Instant Message
2017-03-05T00:35:00,16,1,Music
2017-03-05T00:35:00,3,1,Search
2017-03-05T00:35:00,1,1,General Social Networking
2017-03-05T00:40:00,12,1,Voice Chat
2017-03-05T00:40:00,9,1,Instant Message
2017-03-05T00:40:00,2,1,Search
2017-03-05T00:40:00,1,1,Music
2017-03-05T00:45:00,54,1,Voice Chat
2017-03-05T00:45:00,10,1,Calendars
2017-03-05T00:45:00,5,1,Search
2017-03-05T00:45:00,1,1,General Utilities
2017-03-05T01:00:00,73,1,Instant Message
2017-03-05T01:45:00,5,1,Instant Message
2017-03-05T01:50:00,292,1,General Social Networking
2017-03-05T01:50:00,6,1,Instant Message
2017-03-05T01:50:00,2,1,Search
2017-03-05T01:55:00,71,1,General Social Networking
2017-03-05T01:55:00,3,1,Search
2017-03-05T09:55:00,222,1,Instant Message
2017-03-05T09:55:00,22,1,General Social Networking
